stem,race_id,距離,馬場種別,馬場,天候,頭数,レース名,等級
2025-03-15_中山12R_4歳以上2勝クラス,202506020512,1200,芝,良,曇,16,4歳以上2勝クラス,
2025-03-15_阪神09R_ゆきやなぎ賞,202509010509,2400,芝,良,小雨,12,ゆきやなぎ賞,
2025-03-15_阪神10R_難波S,202509010510,1800,芝,良,小雨,15,難波S,
2025-03-15_阪神11R_コーラルS,202509010511,1400,ダ,良,小雨,11,コーラルS,
2025-03-15_阪神12R_4歳以上2勝クラス,202509010512,1800,ダ,良,小雨,10,4歳以上2勝クラス,
2025-03-16_中京09R_岡崎特別,202507020209,1400,芝,重,曇,13,岡崎特別,
2025-03-16_中京10R_昇竜S,202507020210,1400,ダ,重,小雨,12,昇竜S,
2025-03-16_中京11R_金鯱賞,202507020211,2000,芝,重,小雨,10,金鯱賞,
2025-03-16_中京12R_4歳以上1勝クラス,202507020212,1400,ダ,重,小雨,16,4歳以上1勝クラス,
2025-03-16_中山09R_房総特別,202506020609,1800,芝,重,雨,16,房総特別,
2025-03-16_中山10R_東風S,202506020610,1600,芝,重,雨,12,東風S,
2025-03-16_中山11R_スプリングS,202506020611,1800,芝,重,小雨,12,スプリングS,
2025-03-16_中山12R_4歳以上2勝クラス,202506020612,1200,ダ,不,小雨,16,4歳以上2勝クラス,
2025-03-16_阪神09R_皆生特別,202509010609,1600,芝,重,雨,9,皆生特別,
2025-03-16_阪神10R_甲南S,202509010610,2000,ダ,重,雨,15,甲南S,
2025-03-16_阪神11R_米子城S,202509010611,1200,芝,重,雨,16,米子城S,
2025-03-16_阪神12R_4歳以上2勝クラス,202509010612,1400,ダ,重,雨,12,4歳以上2勝クラス,
2025-03-22_中京09R_金山特別,202507020309,2000,芝,良,晴,18,金山特別,
2025-03-22_中京10R_熱田特別,202507020310,1400,芝,良,晴,17,熱田特別,
2025-03-22_中京11R_ファルコンS,202507020311,1400,芝,良,晴,18,ファルコンS,
2025-03-22_中京12R_4歳以上1勝クラス,202507020312,1200,ダ,良,晴,16,4歳以上1勝クラス,
2025-03-22_中山09R_館山特別,202506020709,2000,芝,良,晴,13,館山特別,
2025-03-22_中山10R_韓国馬事会杯,202506020710,1800,ダ,稍,晴,16,韓国馬事会杯,
2025-03-22_中山11R_フラワーC,202506020711,1800,芝,良,晴,16,フラワーC,
2025-03-22_中山12R_4歳以上2勝クラス,202506020712,1200,ダ,稍,晴,16,4歳以上2勝クラス,
2025-03-22_阪神09R_立雲峡S,202509010709,1400,芝,良,晴,18,立雲峡S,
2025-03-22_阪神10R_レグルスS,202509010710,1800,ダ,良,晴,14,レグルスS,
2025-03-22_阪神11R_若葉S,202509010711,2000,芝,良,晴,9,若葉S,
2025-03-22_阪神12R_4歳以上2勝クラス,202509010712,1800,ダ,良,晴,16,4歳以上2勝クラス,
2025-03-23_中京09R_フローラルウォーク賞,202507020409,1600,芝,良,晴,10,フローラルウォーク賞,
2025-03-23_中京10R_弥富特別,202507020410,1900,ダ,良,晴,16,弥富特別,
2025-03-23_中京11R_愛知杯,202507020411,1400,芝,良,晴,18,愛知杯,
2025-03-23_中京12R_4歳以上1勝クラス,202507020412,1200,芝,良,晴,18,4歳以上1勝クラス,
2025-03-23_中山09R_鎌ケ谷特別,202506020809,1600,芝,良,晴,11,鎌ケ谷特別,
2025-03-23_中山10R_スピカS,202506020810,1800,芝,良,晴,16,スピカS,
2025-03-23_中山11R_千葉S,202506020811,1200,ダ,良,晴,16,千葉S,
2025-03-23_中山12R_4歳以上2勝クラス,202506020812,1800,ダ,良,晴,16,4歳以上2勝クラス,
2025-03-23_阪神09R_讃岐特別,202509010809,1400,芝,良,晴,13,讃岐特別,
2025-03-23_阪神10R_鳴門S,202509010810,1400,ダ,良,晴,16,鳴門S,
2025-03-23_阪神11R_阪神大賞典,202509010811,3000,芝,良,晴,11,阪神大賞典,
2025-03-23_阪神12R_4歳以上2勝クラス,202509010812,1400,ダ,良,晴,16,4歳以上2勝クラス,
2025-03-29_中京09R_矢作川特別,202507020509,1800,ダ,稍,晴,13,矢作川特別,
2025-03-29_中京10R_熊野特別,202507020510,2200,芝,稍,晴,9,熊野特別,
2025-03-29_中京11R_豊橋S,202507020511,1600,芝,稍,晴,11,豊橋S,
2025-03-29_中京12R_4歳以上1勝クラス,202507020512,1200,ダ,稍,晴,16,4歳以上1勝クラス,
2025-03-29_中山09R_ブラッドストーンS,202506030109,1200,ダ,稍,雨,16,ブラッドストーンS,
2025-03-29_中山10R_伏竜S,202506030110,1800,ダ,稍,雨,11,伏竜S,
2025-03-29_中山11R_日経賞,202506030111,2500,芝,稍,曇,15,日経賞,
2025-03-29_中山12R_4歳以上2勝クラス,202506030112,1800,ダ,稍,曇,13,4歳以上2勝クラス,
2025-03-29_阪神09R_君子蘭賞,202509020109,1800,芝,良,晴,14,君子蘭賞,
2025-03-29_阪神10R_仲春特別,202509020110,1600,芝,良,曇,8,仲春特別,
2025-03-29_阪神11R_毎日杯,202509020111,1800,芝,良,曇,10,毎日杯,
2025-03-29_阪神12R_4歳以上2勝クラス,202509020112,2000,ダ,稍,曇,9,4歳以上2勝クラス,
2025-03-30_中京09R_4歳以上1勝クラス,202507020609,1400,ダ,良,晴,14,4歳以上1勝クラス,
2025-03-30_中京10R_伊勢S,202507020610,1900,ダ,良,晴,16,伊勢S,
2025-03-30_中京11R_高松宮記念,202507020611,1200,芝,良,晴,18,高松宮記念,
2025-03-30_中京12R_鈴鹿特別,202507020612,1400,ダ,良,晴,16,鈴鹿特別,
2025-03-30_中山09R_ミモザ賞,202506030209,2000,芝,良,晴,7,ミモザ賞,
2025-03-30_中山10R_船橋S,202506030210,1200,芝,良,晴,16,船橋S,
2025-03-30_中山11R_マーチS,202506030211,1800,ダ,稍,晴,15,マーチS,
2025-03-30_中山12R_4歳以上2勝クラス,202506030212,1200,芝,良,晴,13,4歳以上2勝クラス,
2025-03-30_阪神09R_四国新聞杯,202509020209,2000,芝,良,曇,11,四国新聞杯,
2025-03-30_阪神10R_御堂筋S,202509020210,2400,芝,良,曇,12,御堂筋S,
2025-03-30_阪神11R_六甲S,202509020211,1600,芝,良,曇,12,六甲S,
