騎手,粒度,条件,n,勝利数,複勝内数,勝率,複勝率,単勝回収率,信頼できる母数
◇今村,場×距離帯×馬場,新潟/芝/短距離(~1400),15,2,2,0.1333,0.1333,2.6,False
小林凌,場,新潟,12,1,1,0.0833,0.0833,2.6,False
西塚,場×距離帯×馬場,中京/芝/中距離(1801-2200),7,2,2,0.2857,0.2857,2.6,False
武藤,場,新潟,70,6,13,0.0857,0.1857,2.5943,False
松本,距離帯,長距離(2201~),19,3,5,0.1579,0.2632,2.5895,False
佐々木,場×距離帯×馬場,札幌/芝/中距離(1801-2200),8,1,4,0.125,0.5,2.5875,False
Cデム,場×距離帯×馬場,京都/芝/中距離(1801-2200),7,2,4,0.2857,0.5714,2.5857,False
田中健,枠番,中枠(3-6),5,2,2,0.4,0.4,2.58,False
小崎,場,福島,33,3,7,0.0909,0.2121,2.5788,False
横山典,脚質×距離帯,先行/中距離(1801-2200),14,2,4,0.1429,0.2857,2.5786,False
佐藤,場,新潟,6,1,1,0.1667,0.1667,2.5667,False
Mデム,場×距離帯×馬場,中山/芝/マイル(1401-1800),5,2,3,0.4,0.6,2.56,False
団野,場×距離帯×馬場,阪神/芝/中距離(1801-2200),7,1,1,0.1429,0.1429,2.5571,False
ハマー,脚質×距離帯,差し/マイル(1401-1800),9,2,2,0.2222,0.2222,2.5556,False
☆田山,枠番,内枠(1-2),10,2,4,0.2,0.4,2.55,False
斎藤,場×距離帯×馬場,小倉/芝/マイル(1401-1800),6,1,2,0.1667,0.3333,2.55,False
菅原明,場×距離帯×馬場,新潟/芝/短距離(~1400),5,1,2,0.2,0.4,2.54,False
富田,場×距離帯×馬場,新潟/芝/マイル(1401-1800),5,1,1,0.2,0.2,2.54,False
石橋脩,場×距離帯×馬場,東京/ダ/中距離(1801-2200),10,2,3,0.2,0.3,2.53,False
小沢,脚質×距離帯,追込/中距離(1801-2200),8,1,2,0.125,0.25,2.525,False
酒井,場×距離帯×馬場,阪神/芝/マイル(1401-1800),21,2,2,0.0952,0.0952,2.519,False
内田博,場×距離帯×馬場,東京/芝/長距離(2201~),6,1,1,0.1667,0.1667,2.5167,False
菊沢,枠番,外枠(7-8),133,12,25,0.0902,0.188,2.5165,True
大野,場×距離帯×馬場,新潟/芝/短距離(~1400),16,2,6,0.125,0.375,2.5063,False
▲長浜,脚質,先行,6,2,3,0.3333,0.5,2.5,False
舟山,距離帯,中距離(1801-2200),13,3,4,0.2308,0.3077,2.4923,False
マーカ,場×距離帯×馬場,中山/芝/短距離(~1400),6,2,4,0.3333,0.6667,2.4833,False
佐々木,場,福島,13,2,3,0.1538,0.2308,2.4769,False
横山和,距離帯,短距離(~1400),112,13,38,0.1161,0.3393,2.4607,True
亀田,脚質×距離帯,先行/中距離(1801-2200),5,1,1,0.2,0.2,2.46,False
◇永島,脚質×距離帯,先行/短距離(~1400),22,3,4,0.1364,0.1818,2.4545,False
西塚,場×距離帯×馬場,阪神/芝/短距離(~1400),10,1,3,0.1,0.3,2.45,False
原,場×距離帯×馬場,中山/芝/マイル(1401-1800),23,2,3,0.087,0.1304,2.4478,False
木幡巧,枠番,内枠(1-2),66,2,7,0.0303,0.1061,2.4273,False
高倉,脚質,差し,39,1,2,0.0256,0.0513,2.4256,False
◇永島,場,中京,46,6,10,0.1304,0.2174,2.4065,False
